library_index,library_case_id,batch_id,case_status,source_case_id,external_subject_name,external_subject_numeric_id,external_slice_index,external_modality,external_brain_pixels,training_compatible_donor_count,final_base_use_index,donor_volume,donor_slice_index,donor_h5_file,donor_mask_pixels,donor_tumor_area_pixels,donor_bbox_area,donor_component_count,donor_largest_component_fraction,donor_centroid_x_normalized,donor_centroid_y_normalized,donor_centroid_laterality,candidate_donors_before_uniqueness,pair_key
4751,synthetic_004751,batch_0020,planned,,BraTS20_Validation_058,58,57,flair,14365.0,16709.0,1.0,127,53,volume_127_slice_53.h5,1111,1111.0,1782.0,1.0,1.0,0.6676860154634711,0.6865841395855067,right,16472.0,BraTS20_Validation_058|slice_57|volume_127_slice_53.h5
4752,synthetic_004752,batch_0020,planned,,BraTS20_Validation_058,58,58,flair,14453.0,16865.0,1.0,154,110,volume_154_slice_110.h5,2532,2532.0,4641.0,2.0,0.9687993680884676,0.4539385406545175,0.4130989443904631,midline,16628.0,BraTS20_Validation_058|slice_58|volume_154_slice_110.h5
4753,synthetic_004753,batch_0020,planned,,BraTS20_Validation_058,58,59,flair,14648.0,17074.0,1.0,147,53,volume_147_slice_53.h5,1229,1229.0,1813.0,1.0,1.0,0.4997770068532092,0.6420806792609565,midline,16835.0,BraTS20_Validation_058|slice_59|volume_147_slice_53.h5
4754,synthetic_004754,batch_0020,planned,,BraTS20_Validation_058,58,60,flair,14857.0,17257.0,1.0,130,56,volume_130_slice_56.h5,2122,2122.0,3735.0,1.0,1.0,0.4928306366063436,0.3322869796000458,midline,17016.0,BraTS20_Validation_058|slice_60|volume_130_slice_56.h5
4755,synthetic_004755,batch_0020,planned,,BraTS20_Validation_058,58,61,flair,15001.0,17365.0,1.0,148,44,volume_148_slice_44.h5,726,726.0,1740.0,2.0,0.9862258953168044,0.5529179201678251,0.7044330716829765,right,17124.0,BraTS20_Validation_058|slice_61|volume_148_slice_44.h5
4756,synthetic_004756,batch_0020,planned,,BraTS20_Validation_058,58,62,flair,15195.0,17491.0,1.0,170,56,volume_170_slice_56.h5,2893,2893.0,4214.0,3.0,0.994123746975458,0.6089247310272813,0.6694792074940666,right,17250.0,BraTS20_Validation_058|slice_62|volume_170_slice_56.h5
4757,synthetic_004757,batch_0020,planned,,BraTS20_Validation_058,58,63,flair,15355.0,17584.0,1.0,86,55,volume_86_slice_55.h5,1026,1026.0,1764.0,2.0,0.9990253411306044,0.5272986044842464,0.2601931374228225,midline,17343.0,BraTS20_Validation_058|slice_63|volume_86_slice_55.h5
4758,synthetic_004758,batch_0020,planned,,BraTS20_Validation_058,58,64,flair,15492.0,17595.0,1.0,146,70,volume_146_slice_70.h5,2424,2424.0,3850.0,1.0,1.0,0.5432287998674344,0.3311964041592443,midline,17355.0,BraTS20_Validation_058|slice_64|volume_146_slice_70.h5
4759,synthetic_004759,batch_0020,planned,,BraTS20_Validation_058,58,65,flair,15683.0,17660.0,1.0,137,48,volume_137_slice_48.h5,2750,2750.0,5720.0,2.0,0.9665454545454546,0.6595420311905668,0.3313229364777482,right,17415.0,BraTS20_Validation_058|slice_65|volume_137_slice_48.h5
4760,synthetic_004760,batch_0020,planned,,BraTS20_Validation_058,58,116,flair,9782.0,10366.0,1.0,206,65,volume_206_slice_65.h5,1014,1014.0,1911.0,3.0,0.9970414201183432,0.5152715538940194,0.3437440683980755,midline,10163.0,BraTS20_Validation_058|slice_116|volume_206_slice_65.h5
4761,synthetic_004761,batch_0020,planned,,BraTS20_Validation_058,58,117,flair,9426.0,9519.0,1.0,305,117,volume_305_slice_117.h5,1866,1866.0,2736.0,1.0,1.0,0.4179840080363429,0.4503693040401458,left,9321.0,BraTS20_Validation_058|slice_117|volume_305_slice_117.h5
