library_index,library_case_id,batch_id,case_status,source_case_id,external_subject_name,external_subject_numeric_id,external_slice_index,external_modality,external_brain_pixels,training_compatible_donor_count,final_base_use_index,donor_volume,donor_slice_index,donor_h5_file,donor_mask_pixels,donor_tumor_area_pixels,donor_bbox_area,donor_component_count,donor_largest_component_fraction,donor_centroid_x_normalized,donor_centroid_y_normalized,donor_centroid_laterality,candidate_donors_before_uniqueness,pair_key
8501,synthetic_008501,batch_0035,planned,,BraTS20_Validation_106,106,114,flair,9061.0,7959.0,1.0,275,50,volume_275_slice_50.h5,1143,1143.0,1768.0,1.0,1.0,0.5104712329368871,0.6192395406641116,midline,7786.0,BraTS20_Validation_106|slice_114|volume_275_slice_50.h5
8502,synthetic_008502,batch_0035,planned,,BraTS20_Validation_106,106,115,flair,8702.0,7195.0,1.0,258,62,volume_258_slice_62.h5,1735,1735.0,3481.0,4.0,0.9175792507204612,0.3688977849589427,0.4542124365451629,left,7030.0,BraTS20_Validation_106|slice_115|volume_258_slice_62.h5
8503,synthetic_008503,batch_0035,planned,,BraTS20_Validation_106,106,116,flair,8344.0,6444.0,1.0,311,99,volume_311_slice_99.h5,724,724.0,1530.0,2.0,0.8950276243093923,0.5156094685498972,0.6367634480686101,midline,6286.0,BraTS20_Validation_106|slice_116|volume_311_slice_99.h5
8504,synthetic_008504,batch_0035,planned,,BraTS20_Validation_106,106,117,flair,8005.0,5759.0,1.0,273,93,volume_273_slice_93.h5,1216,1216.0,4879.0,3.0,0.5838815789473685,0.5304001046025104,0.5616707498348382,midline,5611.0,BraTS20_Validation_106|slice_117|volume_273_slice_93.h5
8505,synthetic_008505,batch_0035,planned,,BraTS20_Validation_106,106,118,flair,7620.0,5067.0,1.0,263,103,volume_263_slice_103.h5,516,516.0,1008.0,2.0,0.9903100775193798,0.4010817034802634,0.5629398981544549,left,4931.0,BraTS20_Validation_106|slice_118|volume_263_slice_103.h5
8506,synthetic_008506,batch_0035,planned,,BraTS20_Validation_106,106,119,flair,7257.0,4526.0,1.0,284,121,volume_284_slice_121.h5,939,939.0,1632.0,1.0,1.0,0.3756956791031142,0.454872761461717,left,4396.0,BraTS20_Validation_106|slice_119|volume_284_slice_121.h5
8507,synthetic_008507,batch_0035,planned,,BraTS20_Validation_106,106,120,flair,6898.0,4002.0,1.0,285,116,volume_285_slice_116.h5,1080,1080.0,1705.0,1.0,1.0,0.4195025569502557,0.5719277855261119,left,3880.0,BraTS20_Validation_106|slice_120|volume_285_slice_116.h5
8508,synthetic_008508,batch_0035,planned,,BraTS20_Validation_106,106,121,flair,6512.0,3469.0,1.0,275,57,volume_275_slice_57.h5,1262,1262.0,1891.0,2.0,0.9984152139461172,0.5475966288484109,0.6186500805654835,midline,3351.0,BraTS20_Validation_106|slice_121|volume_275_slice_57.h5
8509,synthetic_008509,batch_0035,planned,,BraTS20_Validation_106,106,122,flair,6122.0,2907.0,1.0,270,109,volume_270_slice_109.h5,935,935.0,3219.0,3.0,0.8716577540106952,0.5206810909985904,0.4047031973687154,midline,2807.0,BraTS20_Validation_106|slice_122|volume_270_slice_109.h5
8510,synthetic_008510,batch_0035,planned,,BraTS20_Validation_106,106,123,flair,5685.0,2396.0,1.0,274,125,volume_274_slice_125.h5,1359,1359.0,2401.0,1.0,1.0,0.4317320451599595,0.4292289740487252,left,2309.0,BraTS20_Validation_106|slice_123|volume_274_slice_125.h5
