library_index,library_case_id,batch_id,case_status,source_case_id,external_subject_name,external_subject_numeric_id,external_slice_index,external_modality,external_brain_pixels,training_compatible_donor_count,final_base_use_index,donor_volume,donor_slice_index,donor_h5_file,donor_mask_pixels,donor_tumor_area_pixels,donor_bbox_area,donor_component_count,donor_largest_component_fraction,donor_centroid_x_normalized,donor_centroid_y_normalized,donor_centroid_laterality,candidate_donors_before_uniqueness,pair_key
1,synthetic_000001,batch_0001,already_generated,external_s001_r01,BraTS20_Validation_001,1,51,flair,,,,43,59,volume_43_slice_59.h5,1407,,,,,,,,,BraTS20_Validation_001|slice_51|volume_43_slice_59.h5
2,synthetic_000002,batch_0001,already_generated,external_s001_r02,BraTS20_Validation_001,1,17,flair,,,,31,86,volume_31_slice_86.h5,1742,,,,,,,,,BraTS20_Validation_001|slice_17|volume_31_slice_86.h5
3,synthetic_000003,batch_0001,already_generated,external_s002_r01,BraTS20_Validation_002,2,133,flair,,,,328,128,volume_328_slice_128.h5,352,,,,,,,,,BraTS20_Validation_002|slice_133|volume_328_slice_128.h5
4,synthetic_000004,batch_0001,already_generated,external_s002_r02,BraTS20_Validation_002,2,8,flair,,,,134,105,volume_134_slice_105.h5,1547,,,,,,,,,BraTS20_Validation_002|slice_8|volume_134_slice_105.h5
5,synthetic_000005,batch_0001,already_generated,external_s003_r01,BraTS20_Validation_003,3,43,flair,,,,76,98,volume_76_slice_98.h5,1216,,,,,,,,,BraTS20_Validation_003|slice_43|volume_76_slice_98.h5
6,synthetic_000006,batch_0001,already_generated,external_s003_r02,BraTS20_Validation_003,3,68,flair,,,,200,44,volume_200_slice_44.h5,1168,,,,,,,,,BraTS20_Validation_003|slice_68|volume_200_slice_44.h5
7,synthetic_000007,batch_0001,already_generated,external_s004_r01,BraTS20_Validation_004,4,41,flair,,,,99,56,volume_99_slice_56.h5,315,,,,,,,,,BraTS20_Validation_004|slice_41|volume_99_slice_56.h5
8,synthetic_000008,batch_0001,already_generated,external_s004_r02,BraTS20_Validation_004,4,21,flair,,,,185,67,volume_185_slice_67.h5,1026,,,,,,,,,BraTS20_Validation_004|slice_21|volume_185_slice_67.h5
9,synthetic_000009,batch_0001,already_generated,external_s005_r01,BraTS20_Validation_005,5,13,flair,,,,257,66,volume_257_slice_66.h5,971,,,,,,,,,BraTS20_Validation_005|slice_13|volume_257_slice_66.h5
10,synthetic_000010,batch_0001,already_generated,external_s005_r02,BraTS20_Validation_005,5,121,flair,,,,159,84,volume_159_slice_84.h5,1009,,,,,,,,,BraTS20_Validation_005|slice_121|volume_159_slice_84.h5
11,synthetic_000011,batch_0001,already_generated,external_s006_r01,BraTS20_Validation_006,6,130,flair,,,,57,84,volume_57_slice_84.h5,917,,,,,,,,,BraTS20_Validation_006|slice_130|volume_57_slice_84.h5
12,synthetic_000012,batch_0001,already_generated,external_s006_r02,BraTS20_Validation_006,6,55,flair,,,,92,87,volume_92_slice_87.h5,1613,,,,,,,,,BraTS20_Validation_006|slice_55|volume_92_slice_87.h5
13,synthetic_000013,batch_0001,already_generated,external_s007_r01,BraTS20_Validation_007,7,17,flair,,,,361,75,volume_361_slice_75.h5,578,,,,,,,,,BraTS20_Validation_007|slice_17|volume_361_slice_75.h5
14,synthetic_000014,batch_0001,already_generated,external_s007_r02,BraTS20_Validation_007,7,37,flair,,,,19,35,volume_19_slice_35.h5,410,,,,,,,,,BraTS20_Validation_007|slice_37|volume_19_slice_35.h5
15,synthetic_000015,batch_0001,already_generated,external_s008_r01,BraTS20_Validation_008,8,50,flair,,,,196,78,volume_196_slice_78.h5,3567,,,,,,,,,BraTS20_Validation_008|slice_50|volume_196_slice_78.h5
16,synthetic_000016,batch_0001,already_generated,external_s008_r02,BraTS20_Validation_008,8,136,flair,,,,62,130,volume_62_slice_130.h5,318,,,,,,,,,BraTS20_Validation_008|slice_136|volume_62_slice_130.h5
17,synthetic_000017,batch_0001,already_generated,external_s009_r01,BraTS20_Validation_009,9,94,flair,,,,282,53,volume_282_slice_53.h5,1994,,,,,,,,,BraTS20_Validation_009|slice_94|volume_282_slice_53.h5
18,synthetic_000018,batch_0001,already_generated,external_s009_r02,BraTS20_Validation_009,9,27,flair,,,,102,89,volume_102_slice_89.h5,675,,,,,,,,,BraTS20_Validation_009|slice_27|volume_102_slice_89.h5
