external_subject_name,external_subject_numeric_id,external_slice_index,external_modality,external_brain_pixels,training_compatible_donor_count,final_base_use_index,subject_active_base_count,subject_required_reuse_ceiling,exact_donor_index,donor_volume,donor_h5_file
BraTS20_Validation_001,1,60,flair,16872,17761,1,34,3,17772,367,volume_367_slice_89.h5
BraTS20_Validation_001,1,59,flair,16730,17757,1,34,3,15143,312,volume_312_slice_98.h5
BraTS20_Validation_001,1,58,flair,16626,17724,1,34,3,339,7,volume_7_slice_58.h5
BraTS20_Validation_001,1,57,flair,16391,17609,1,34,3,23,1,volume_1_slice_57.h5
BraTS20_Validation_001,1,56,flair,16202,17487,1,34,3,13665,284,volume_284_slice_106.h5
BraTS20_Validation_001,1,55,flair,15946,17285,1,34,3,1771,35,volume_35_slice_81.h5
BraTS20_Validation_001,1,54,flair,15744,16794,1,34,3,14580,301,volume_301_slice_120.h5
BraTS20_Validation_001,1,53,flair,15511,16035,1,34,3,16133,332,volume_332_slice_103.h5
BraTS20_Validation_001,1,52,flair,15264,15463,1,34,3,13618,284,volume_284_slice_59.h5
BraTS20_Validation_001,1,50,flair,14860,14982,1,34,3,16537,341,volume_341_slice_54.h5
BraTS20_Validation_001,1,43,flair,13016,13679,1,34,3,16624,344,volume_344_slice_53.h5
BraTS20_Validation_001,1,25,flair,6927,3573,1,34,3,17538,363,volume_363_slice_45.h5
BraTS20_Validation_001,1,24,flair,6659,3446,1,34,3,5808,130,volume_130_slice_34.h5
BraTS20_Validation_001,1,23,flair,6442,3368,1,34,3,9689,202,volume_202_slice_77.h5
BraTS20_Validation_001,1,22,flair,6186,3302,1,34,3,10382,217,volume_217_slice_39.h5
BraTS20_Validation_001,1,21,flair,5798,3180,1,34,3,1172,24,volume_24_slice_102.h5
BraTS20_Validation_001,1,20,flair,5572,3110,1,34,3,11089,233,volume_233_slice_98.h5
BraTS20_Validation_001,1,19,flair,5310,2993,1,34,3,1163,24,volume_24_slice_93.h5
BraTS20_Validation_001,1,18,flair,5122,2849,1,34,3,239,5,volume_5_slice_104.h5
BraTS20_Validation_001,1,16,flair,4775,2488,1,34,3,142,3,volume_3_slice_85.h5
BraTS20_Validation_001,1,15,flair,4627,2352,1,34,3,244,5,volume_5_slice_109.h5
BraTS20_Validation_001,1,14,flair,4483,2209,1,34,3,1570,31,volume_31_slice_125.h5
BraTS20_Validation_001,1,13,flair,4350,2073,1,34,3,161,3,volume_3_slice_104.h5
BraTS20_Validation_001,1,12,flair,4152,1911,1,34,3,160,3,volume_3_slice_103.h5
BraTS20_Validation_001,1,11,flair,3924,1661,1,34,3,869,18,volume_18_slice_61.h5
BraTS20_Validation_001,1,10,flair,3720,1450,1,34,3,1164,24,volume_24_slice_94.h5
BraTS20_Validation_001,1,9,flair,3460,1176,1,34,3,3796,76,volume_76_slice_101.h5
