case_id,image_relative_path,label_container_relative_path,label_tensor_key,external_subject_name,external_slice_index,donor_h5_file,mask_pixels,image_height,image_width,image_channel,image_role,label_role,generator_checkpoint,generator_git_commit,posterior_samples
external_s001_r01,external_s001_r01/composite_mean.pt,external_s001_r01/posterior_samples.pt,transferred_mask,BraTS20_Validation_001,51,volume_43_slice_59.h5,1407,240,240,FLAIR,synthetic,prescribed_whole_tumor_mask,checkpoints/br_lora_full_train/final.pt,f45355ea88500a335ac575dfe30db1912935e7f9,100
external_s001_r02,external_s001_r02/composite_mean.pt,external_s001_r02/posterior_samples.pt,transferred_mask,BraTS20_Validation_001,17,volume_31_slice_86.h5,1742,240,240,FLAIR,synthetic,prescribed_whole_tumor_mask,checkpoints/br_lora_full_train/final.pt,f45355ea88500a335ac575dfe30db1912935e7f9,100
external_s002_r01,external_s002_r01/composite_mean.pt,external_s002_r01/posterior_samples.pt,transferred_mask,BraTS20_Validation_002,133,volume_328_slice_128.h5,352,240,240,FLAIR,synthetic,prescribed_whole_tumor_mask,checkpoints/br_lora_full_train/final.pt,f45355ea88500a335ac575dfe30db1912935e7f9,100
external_s002_r02,external_s002_r02/composite_mean.pt,external_s002_r02/posterior_samples.pt,transferred_mask,BraTS20_Validation_002,8,volume_134_slice_105.h5,1547,240,240,FLAIR,synthetic,prescribed_whole_tumor_mask,checkpoints/br_lora_full_train/final.pt,f45355ea88500a335ac575dfe30db1912935e7f9,100
external_s003_r01,external_s003_r01/composite_mean.pt,external_s003_r01/posterior_samples.pt,transferred_mask,BraTS20_Validation_003,43,volume_76_slice_98.h5,1216,240,240,FLAIR,synthetic,prescribed_whole_tumor_mask,checkpoints/br_lora_full_train/final.pt,f45355ea88500a335ac575dfe30db1912935e7f9,100
external_s003_r02,external_s003_r02/composite_mean.pt,external_s003_r02/posterior_samples.pt,transferred_mask,BraTS20_Validation_003,68,volume_200_slice_44.h5,1168,240,240,FLAIR,synthetic,prescribed_whole_tumor_mask,checkpoints/br_lora_full_train/final.pt,f45355ea88500a335ac575dfe30db1912935e7f9,100
external_s004_r01,external_s004_r01/composite_mean.pt,external_s004_r01/posterior_samples.pt,transferred_mask,BraTS20_Validation_004,41,volume_99_slice_56.h5,315,240,240,FLAIR,synthetic,prescribed_whole_tumor_mask,checkpoints/br_lora_full_train/final.pt,f45355ea88500a335ac575dfe30db1912935e7f9,100
external_s004_r02,external_s004_r02/composite_mean.pt,external_s004_r02/posterior_samples.pt,transferred_mask,BraTS20_Validation_004,21,volume_185_slice_67.h5,1026,240,240,FLAIR,synthetic,prescribed_whole_tumor_mask,checkpoints/br_lora_full_train/final.pt,f45355ea88500a335ac575dfe30db1912935e7f9,100
external_s005_r01,external_s005_r01/composite_mean.pt,external_s005_r01/posterior_samples.pt,transferred_mask,BraTS20_Validation_005,13,volume_257_slice_66.h5,971,240,240,FLAIR,synthetic,prescribed_whole_tumor_mask,checkpoints/br_lora_full_train/final.pt,f45355ea88500a335ac575dfe30db1912935e7f9,100
external_s005_r02,external_s005_r02/composite_mean.pt,external_s005_r02/posterior_samples.pt,transferred_mask,BraTS20_Validation_005,121,volume_159_slice_84.h5,1009,240,240,FLAIR,synthetic,prescribed_whole_tumor_mask,checkpoints/br_lora_full_train/final.pt,f45355ea88500a335ac575dfe30db1912935e7f9,100
external_s006_r01,external_s006_r01/composite_mean.pt,external_s006_r01/posterior_samples.pt,transferred_mask,BraTS20_Validation_006,130,volume_57_slice_84.h5,917,240,240,FLAIR,synthetic,prescribed_whole_tumor_mask,checkpoints/br_lora_full_train/final.pt,f45355ea88500a335ac575dfe30db1912935e7f9,100
external_s006_r02,external_s006_r02/composite_mean.pt,external_s006_r02/posterior_samples.pt,transferred_mask,BraTS20_Validation_006,55,volume_92_slice_87.h5,1613,240,240,FLAIR,synthetic,prescribed_whole_tumor_mask,checkpoints/br_lora_full_train/final.pt,f45355ea88500a335ac575dfe30db1912935e7f9,100
external_s007_r01,external_s007_r01/composite_mean.pt,external_s007_r01/posterior_samples.pt,transferred_mask,BraTS20_Validation_007,17,volume_361_slice_75.h5,578,240,240,FLAIR,synthetic,prescribed_whole_tumor_mask,checkpoints/br_lora_full_train/final.pt,f45355ea88500a335ac575dfe30db1912935e7f9,100
external_s007_r02,external_s007_r02/composite_mean.pt,external_s007_r02/posterior_samples.pt,transferred_mask,BraTS20_Validation_007,37,volume_19_slice_35.h5,410,240,240,FLAIR,synthetic,prescribed_whole_tumor_mask,checkpoints/br_lora_full_train/final.pt,f45355ea88500a335ac575dfe30db1912935e7f9,100
external_s008_r01,external_s008_r01/composite_mean.pt,external_s008_r01/posterior_samples.pt,transferred_mask,BraTS20_Validation_008,50,volume_196_slice_78.h5,3567,240,240,FLAIR,synthetic,prescribed_whole_tumor_mask,checkpoints/br_lora_full_train/final.pt,f45355ea88500a335ac575dfe30db1912935e7f9,100
external_s008_r02,external_s008_r02/composite_mean.pt,external_s008_r02/posterior_samples.pt,transferred_mask,BraTS20_Validation_008,136,volume_62_slice_130.h5,318,240,240,FLAIR,synthetic,prescribed_whole_tumor_mask,checkpoints/br_lora_full_train/final.pt,f45355ea88500a335ac575dfe30db1912935e7f9,100
external_s009_r01,external_s009_r01/composite_mean.pt,external_s009_r01/posterior_samples.pt,transferred_mask,BraTS20_Validation_009,94,volume_282_slice_53.h5,1994,240,240,FLAIR,synthetic,prescribed_whole_tumor_mask,checkpoints/br_lora_full_train/final.pt,f45355ea88500a335ac575dfe30db1912935e7f9,100
external_s009_r02,external_s009_r02/composite_mean.pt,external_s009_r02/posterior_samples.pt,transferred_mask,BraTS20_Validation_009,27,volume_102_slice_89.h5,675,240,240,FLAIR,synthetic,prescribed_whole_tumor_mask,checkpoints/br_lora_full_train/final.pt,f45355ea88500a335ac575dfe30db1912935e7f9,100
external_s010_r01,external_s010_r01/composite_mean.pt,external_s010_r01/posterior_samples.pt,transferred_mask,BraTS20_Validation_010,43,volume_283_slice_114.h5,1430,240,240,FLAIR,synthetic,prescribed_whole_tumor_mask,checkpoints/br_lora_full_train/final.pt,f45355ea88500a335ac575dfe30db1912935e7f9,100
external_s010_r02,external_s010_r02/composite_mean.pt,external_s010_r02/posterior_samples.pt,transferred_mask,BraTS20_Validation_010,38,volume_114_slice_58.h5,342,240,240,FLAIR,synthetic,prescribed_whole_tumor_mask,checkpoints/br_lora_full_train/final.pt,f45355ea88500a335ac575dfe30db1912935e7f9,100
external_s011_r01,external_s011_r01/composite_mean.pt,external_s011_r01/posterior_samples.pt,transferred_mask,BraTS20_Validation_011,45,volume_337_slice_101.h5,2121,240,240,FLAIR,synthetic,prescribed_whole_tumor_mask,checkpoints/br_lora_full_train/final.pt,f45355ea88500a335ac575dfe30db1912935e7f9,100
external_s011_r02,external_s011_r02/composite_mean.pt,external_s011_r02/posterior_samples.pt,transferred_mask,BraTS20_Validation_011,127,volume_96_slice_105.h5,374,240,240,FLAIR,synthetic,prescribed_whole_tumor_mask,checkpoints/br_lora_full_train/final.pt,f45355ea88500a335ac575dfe30db1912935e7f9,100
external_s012_r01,external_s012_r01/composite_mean.pt,external_s012_r01/posterior_samples.pt,transferred_mask,BraTS20_Validation_012,15,volume_356_slice_54.h5,323,240,240,FLAIR,synthetic,prescribed_whole_tumor_mask,checkpoints/br_lora_full_train/final.pt,f45355ea88500a335ac575dfe30db1912935e7f9,100
external_s012_r02,external_s012_r02/composite_mean.pt,external_s012_r02/posterior_samples.pt,transferred_mask,BraTS20_Validation_012,119,volume_9_slice_42.h5,1355,240,240,FLAIR,synthetic,prescribed_whole_tumor_mask,checkpoints/br_lora_full_train/final.pt,f45355ea88500a335ac575dfe30db1912935e7f9,100
external_s013_r01,external_s013_r01/composite_mean.pt,external_s013_r01/posterior_samples.pt,transferred_mask,BraTS20_Validation_013,126,volume_239_slice_65.h5,323,240,240,FLAIR,synthetic,prescribed_whole_tumor_mask,checkpoints/br_lora_full_train/final.pt,f45355ea88500a335ac575dfe30db1912935e7f9,100
external_s013_r02,external_s013_r02/composite_mean.pt,external_s013_r02/posterior_samples.pt,transferred_mask,BraTS20_Validation_013,105,volume_54_slice_88.h5,1212,240,240,FLAIR,synthetic,prescribed_whole_tumor_mask,checkpoints/br_lora_full_train/final.pt,f45355ea88500a335ac575dfe30db1912935e7f9,100
external_s014_r01,external_s014_r01/composite_mean.pt,external_s014_r01/posterior_samples.pt,transferred_mask,BraTS20_Validation_014,15,volume_246_slice_86.h5,812,240,240,FLAIR,synthetic,prescribed_whole_tumor_mask,checkpoints/br_lora_full_train/final.pt,f45355ea88500a335ac575dfe30db1912935e7f9,100
external_s014_r02,external_s014_r02/composite_mean.pt,external_s014_r02/posterior_samples.pt,transferred_mask,BraTS20_Validation_014,58,volume_209_slice_64.h5,2019,240,240,FLAIR,synthetic,prescribed_whole_tumor_mask,checkpoints/br_lora_full_train/final.pt,f45355ea88500a335ac575dfe30db1912935e7f9,100
external_s015_r01,external_s015_r01/composite_mean.pt,external_s015_r01/posterior_samples.pt,transferred_mask,BraTS20_Validation_015,38,volume_31_slice_102.h5,1880,240,240,FLAIR,synthetic,prescribed_whole_tumor_mask,checkpoints/br_lora_full_train/final.pt,f45355ea88500a335ac575dfe30db1912935e7f9,100
external_s015_r02,external_s015_r02/composite_mean.pt,external_s015_r02/posterior_samples.pt,transferred_mask,BraTS20_Validation_015,139,volume_32_slice_136.h5,371,240,240,FLAIR,synthetic,prescribed_whole_tumor_mask,checkpoints/br_lora_full_train/final.pt,f45355ea88500a335ac575dfe30db1912935e7f9,100
external_s016_r01,external_s016_r01/composite_mean.pt,external_s016_r01/posterior_samples.pt,transferred_mask,BraTS20_Validation_016,98,volume_78_slice_47.h5,1106,240,240,FLAIR,synthetic,prescribed_whole_tumor_mask,checkpoints/br_lora_full_train/final.pt,f45355ea88500a335ac575dfe30db1912935e7f9,100
external_s016_r02,external_s016_r02/composite_mean.pt,external_s016_r02/posterior_samples.pt,transferred_mask,BraTS20_Validation_016,2,volume_45_slice_86.h5,2183,240,240,FLAIR,synthetic,prescribed_whole_tumor_mask,checkpoints/br_lora_full_train/final.pt,f45355ea88500a335ac575dfe30db1912935e7f9,100
external_s017_r01,external_s017_r01/composite_mean.pt,external_s017_r01/posterior_samples.pt,transferred_mask,BraTS20_Validation_017,9,volume_325_slice_17.h5,329,240,240,FLAIR,synthetic,prescribed_whole_tumor_mask,checkpoints/br_lora_full_train/final.pt,f45355ea88500a335ac575dfe30db1912935e7f9,100
external_s017_r02,external_s017_r02/composite_mean.pt,external_s017_r02/posterior_samples.pt,transferred_mask,BraTS20_Validation_017,123,volume_268_slice_46.h5,521,240,240,FLAIR,synthetic,prescribed_whole_tumor_mask,checkpoints/br_lora_full_train/final.pt,f45355ea88500a335ac575dfe30db1912935e7f9,100
external_s018_r01,external_s018_r01/composite_mean.pt,external_s018_r01/posterior_samples.pt,transferred_mask,BraTS20_Validation_018,25,volume_136_slice_77.h5,323,240,240,FLAIR,synthetic,prescribed_whole_tumor_mask,checkpoints/br_lora_full_train/final.pt,f45355ea88500a335ac575dfe30db1912935e7f9,100
external_s018_r02,external_s018_r02/composite_mean.pt,external_s018_r02/posterior_samples.pt,transferred_mask,BraTS20_Validation_018,36,volume_253_slice_81.h5,487,240,240,FLAIR,synthetic,prescribed_whole_tumor_mask,checkpoints/br_lora_full_train/final.pt,f45355ea88500a335ac575dfe30db1912935e7f9,100
external_s019_r01,external_s019_r01/composite_mean.pt,external_s019_r01/posterior_samples.pt,transferred_mask,BraTS20_Validation_019,126,volume_230_slice_115.h5,1797,240,240,FLAIR,synthetic,prescribed_whole_tumor_mask,checkpoints/br_lora_full_train/final.pt,f45355ea88500a335ac575dfe30db1912935e7f9,100
external_s019_r02,external_s019_r02/composite_mean.pt,external_s019_r02/posterior_samples.pt,transferred_mask,BraTS20_Validation_019,41,volume_179_slice_87.h5,319,240,240,FLAIR,synthetic,prescribed_whole_tumor_mask,checkpoints/br_lora_full_train/final.pt,f45355ea88500a335ac575dfe30db1912935e7f9,100
external_s020_r01,external_s020_r01/composite_mean.pt,external_s020_r01/posterior_samples.pt,transferred_mask,BraTS20_Validation_020,40,volume_361_slice_104.h5,1779,240,240,FLAIR,synthetic,prescribed_whole_tumor_mask,checkpoints/br_lora_full_train/final.pt,f45355ea88500a335ac575dfe30db1912935e7f9,100
external_s020_r02,external_s020_r02/composite_mean.pt,external_s020_r02/posterior_samples.pt,transferred_mask,BraTS20_Validation_020,57,volume_134_slice_117.h5,727,240,240,FLAIR,synthetic,prescribed_whole_tumor_mask,checkpoints/br_lora_full_train/final.pt,f45355ea88500a335ac575dfe30db1912935e7f9,100
external_s021_r01,external_s021_r01/composite_mean.pt,external_s021_r01/posterior_samples.pt,transferred_mask,BraTS20_Validation_021,48,volume_325_slice_25.h5,753,240,240,FLAIR,synthetic,prescribed_whole_tumor_mask,checkpoints/br_lora_full_train/final.pt,f45355ea88500a335ac575dfe30db1912935e7f9,100
external_s021_r02,external_s021_r02/composite_mean.pt,external_s021_r02/posterior_samples.pt,transferred_mask,BraTS20_Validation_021,62,volume_74_slice_107.h5,1160,240,240,FLAIR,synthetic,prescribed_whole_tumor_mask,checkpoints/br_lora_full_train/final.pt,f45355ea88500a335ac575dfe30db1912935e7f9,100
external_s022_r01,external_s022_r01/composite_mean.pt,external_s022_r01/posterior_samples.pt,transferred_mask,BraTS20_Validation_022,39,volume_185_slice_44.h5,1989,240,240,FLAIR,synthetic,prescribed_whole_tumor_mask,checkpoints/br_lora_full_train/final.pt,f45355ea88500a335ac575dfe30db1912935e7f9,100
external_s022_r02,external_s022_r02/composite_mean.pt,external_s022_r02/posterior_samples.pt,transferred_mask,BraTS20_Validation_022,38,volume_84_slice_63.h5,1857,240,240,FLAIR,synthetic,prescribed_whole_tumor_mask,checkpoints/br_lora_full_train/final.pt,f45355ea88500a335ac575dfe30db1912935e7f9,100
external_s023_r01,external_s023_r01/composite_mean.pt,external_s023_r01/posterior_samples.pt,transferred_mask,BraTS20_Validation_023,23,volume_221_slice_100.h5,1618,240,240,FLAIR,synthetic,prescribed_whole_tumor_mask,checkpoints/br_lora_full_train/final.pt,f45355ea88500a335ac575dfe30db1912935e7f9,100
external_s023_r02,external_s023_r02/composite_mean.pt,external_s023_r02/posterior_samples.pt,transferred_mask,BraTS20_Validation_023,30,volume_255_slice_105.h5,355,240,240,FLAIR,synthetic,prescribed_whole_tumor_mask,checkpoints/br_lora_full_train/final.pt,f45355ea88500a335ac575dfe30db1912935e7f9,100
