slice_path,target,volume,slice,label0_pxl_cnt,label1_pxl_cnt,label2_pxl_cnt,background_ratio,whole_tumor_pixels,donor_h5_path,mask_has_margin,loaded_mask_pixels,compatible_external_base_count,tumor_area_pixels,tumor_area_fraction,bbox_y_min,bbox_y_max,bbox_x_min,bbox_x_max,bbox_height,bbox_width,bbox_area,bbox_fill_fraction,centroid_y,centroid_x,centroid_y_normalized,centroid_x_normalized,centroid_laterality,connected_component_count,largest_component_pixels,largest_component_fraction
volume_1_slice_34.h5,1,1,34,0,301,0,0.9947743055555556,301,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_1_slice_34.h5,True,301,4423,301,0.0052256944444444,74,99,96,117,26,22,572,0.5262237762237763,87.54817275747509,106.42524916943522,0.3663103462655861,0.4452939295792268,left,2,300,0.9966777408637874
volume_1_slice_35.h5,1,1,35,0,347,0,0.9939756944444444,347,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_1_slice_35.h5,True,347,4357,347,0.0060243055555555,74,99,96,118,26,23,598,0.580267558528428,86.97982708933718,106.38616714697406,0.3639323309177287,0.4451304064726948,left,1,347,1.0
volume_1_slice_36.h5,1,1,36,0,439,0,0.9923784722222222,439,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_1_slice_36.h5,True,439,4295,439,0.0076215277777777,73,99,95,120,27,26,702,0.6253561253561254,86.00455580865604,106.7995444191344,0.3598516979441675,0.446860018490102,left,1,439,1.0
volume_1_slice_37.h5,1,1,37,0,526,0,0.9908680555555556,526,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_1_slice_37.h5,True,526,4216,526,0.0091319444444444,73,100,91,122,28,32,896,0.5870535714285714,86.16920152091255,106.83650190114068,0.3605405921377094,0.4470146523060279,left,1,526,1.0
volume_1_slice_38.h5,1,1,38,0,588,0,0.9897916666666666,588,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_1_slice_38.h5,True,588,4150,588,0.0102083333333333,72,100,90,124,29,35,1015,0.5793103448275863,86.20918367346938,106.96938775510203,0.3607078814789514,0.4475706600631884,left,1,588,1.0
volume_1_slice_39.h5,1,1,39,0,586,47,0.9890104166666668,633,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_1_slice_39.h5,True,633,4109,633,0.0109895833333333,71,99,89,124,29,36,1044,0.6063218390804598,86.07898894154819,106.93996840442338,0.3601631336466451,0.4474475665457045,left,1,633,1.0
volume_1_slice_40.h5,1,1,40,0,560,91,0.9886979166666666,651,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_1_slice_40.h5,True,651,4085,651,0.0113020833333333,71,99,89,125,29,37,1073,0.6067101584342963,85.84485407066052,106.96774193548389,0.3591834898353996,0.4475637737886354,left,1,651,1.0
volume_1_slice_41.h5,1,1,41,42,589,116,0.98703125,747,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_1_slice_41.h5,True,747,3969,747,0.01296875,71,99,86,125,29,40,1160,0.6439655172413793,85.95983935742971,107.12048192771084,0.3596645998218816,0.4482028532540202,left,3,729,0.9759036144578314
volume_1_slice_42.h5,1,1,42,74,712,161,0.9835590277777778,947,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_1_slice_42.h5,True,947,3771,947,0.0164409722222222,71,102,85,127,32,43,1376,0.6882267441860465,85.93664202745512,106.99049630411828,0.3595675398638289,0.4476589803519593,left,1,947,1.0
volume_1_slice_43.h5,1,1,43,154,687,184,0.9822048611111112,1025,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_1_slice_43.h5,True,1025,3694,1025,0.0177951388888888,71,102,85,128,32,44,1408,0.7279829545454546,85.70634146341463,107.04975609756096,0.3586039391774671,0.4479069292784978,left,1,1025,1.0
volume_1_slice_44.h5,1,1,44,233,665,223,0.9805381944444445,1121,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_1_slice_44.h5,True,1121,3611,1121,0.0194618055555555,70,102,85,131,33,47,1551,0.7227595099935525,85.38626226583408,108.18376449598571,0.3572646956729459,0.4526517342928273,midline,1,1121,1.0
volume_1_slice_45.h5,1,1,45,248,665,241,0.9799652777777778,1154,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_1_slice_45.h5,True,1154,3581,1154,0.0200347222222222,70,102,85,131,33,47,1551,0.7440361057382334,85.36568457538995,108.22443674176776,0.3571785965497487,0.4528219110534215,midline,1,1154,1.0
volume_1_slice_46.h5,1,1,46,288,633,281,0.9791319444444444,1202,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_1_slice_46.h5,True,1202,3550,1202,0.0208680555555555,70,106,85,132,37,48,1776,0.6768018018018018,85.69217970049917,108.4991680532446,0.358544684939327,0.4539714144487221,midline,1,1202,1.0
volume_1_slice_47.h5,1,1,47,312,690,355,0.9764409722222224,1357,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_1_slice_47.h5,True,1357,3506,1357,0.0235590277777777,70,114,84,145,45,62,2790,0.4863799283154122,87.16728076639646,110.22328666175387,0.364716655926345,0.4611852998399743,midline,5,1321,0.9734708916728076
volume_1_slice_48.h5,1,1,48,294,879,476,0.9713715277777778,1649,/Users/bhanugarg/archive/BraTS2020_H5_Rebuilt/volume_1_slice_48.h5,True,1649,3430,1649,0.0286284722222222,65,115,85,142,51,58,2958,0.5574712643678161,87.40994542146755,112.94542146755607,0.3657319892111613,0.4725749852198999,midline,3,1609,0.9757428744693754
