volume,total_slices,tumor_positive_slices,eligible_donor_slices,total_tumor_pixels,median_tumor_pixels,max_tumor_pixels,used_as_batch0001_donor
1,155,83,75,211979,141.0,5048,False
2,155,55,46,67008,0.0,2105,False
3,155,52,41,29807,0.0,942,True
4,155,68,58,103496,0.0,2751,True
5,155,51,33,21963,0.0,779,False
6,155,76,69,139230,0.0,3179,False
7,155,54,38,39772,0.0,1501,True
8,155,52,38,33446,0.0,1272,False
9,155,81,71,183094,25.0,4219,True
10,155,58,44,44582,0.0,1331,True
11,155,73,58,55130,0.0,1377,False
12,155,55,34,32051,0.0,1399,False
13,155,62,40,46339,0.0,1632,True
14,155,64,55,80396,0.0,2372,False
15,155,79,68,125287,8.0,2794,False
16,155,80,67,127189,23.0,3024,True
17,155,79,66,100758,3.0,2299,True
18,155,56,41,45118,0.0,1689,False
19,155,49,44,43797,0.0,1372,True
20,155,80,71,175675,33.0,4223,False
21,155,51,34,36858,0.0,1597,False
22,155,77,50,68118,0.0,1889,True
23,155,56,41,41124,0.0,1316,False
24,155,89,75,95627,208.0,1935,False
25,155,61,49,73437,0.0,2028,False
26,155,79,69,180618,2.0,3878,False
27,155,76,58,66648,0.0,1818,True
28,155,43,26,20935,0.0,1071,True
29,155,65,53,62354,0.0,1898,False
30,155,85,66,99909,83.0,2137,True
31,155,82,70,87609,25.0,1906,True
32,155,47,34,26500,0.0,980,True
33,155,68,60,122656,0.0,3195,True
34,155,67,58,91573,0.0,2186,False
35,155,62,47,78815,0.0,2508,False
36,155,38,21,14830,0.0,855,False
37,155,71,63,189011,0.0,4306,False
38,155,88,70,100879,113.0,2065,True
39,155,52,45,51853,0.0,1633,False
40,155,71,61,171454,0.0,4893,True
41,155,83,73,101416,159.0,2578,True
42,155,68,59,75949,0.0,1853,False
43,155,56,37,37429,0.0,1475,True
44,155,65,33,19150,0.0,567,True
45,155,80,67,97205,7.0,2273,True
46,155,60,39,36342,0.0,1318,False
47,155,92,52,132682,98.0,3551,True
48,155,50,34,29239,0.0,1347,False
49,155,76,67,83418,0.0,1875,False
50,155,71,58,82780,0.0,2428,True
51,155,86,68,121570,91.0,3205,True
52,155,58,48,45951,0.0,1241,False
53,155,81,70,149897,29.0,3112,False
54,155,77,58,80574,0.0,2331,True
55,155,61,53,118394,0.0,3017,False
56,155,72,55,55364,0.0,1492,True
57,155,70,52,91132,0.0,2529,True
58,155,67,56,91646,0.0,2595,True
59,155,54,37,25918,0.0,870,True
60,155,60,51,87324,0.0,2513,True
61,155,45,29,20876,0.0,845,True
62,155,82,64,142132,62.0,3635,True
63,155,46,24,13459,0.0,524,True
64,155,98,50,95815,84.0,2866,False
65,155,40,26,24955,0.0,1267,False
66,155,82,54,59246,19.0,1689,True
67,155,92,71,130505,81.0,2835,True
68,155,50,44,63159,0.0,2186,False
69,155,95,81,160010,408.0,4403,True
70,155,102,67,57830,232.0,1234,True
71,155,82,66,154279,25.0,3533,False
72,155,87,65,89189,94.0,1982,True
73,155,51,37,44519,0.0,1724,False
74,155,82,62,76789,23.0,1868,True
75,155,94,73,185137,156.0,4161,False
76,155,64,48,42204,0.0,1247,True
77,155,52,38,50183,0.0,1884,False
78,155,54,40,39411,0.0,1818,True
79,155,29,14,7285,0.0,404,False
80,155,43,37,43464,0.0,1590,True
81,155,53,34,31532,0.0,1223,False
82,155,34,16,10101,0.0,633,True
83,155,62,50,73658,0.0,2276,True
84,155,56,37,57075,0.0,2263,True
85,155,61,47,36221,0.0,1032,True
86,155,47,27,20752,0.0,1026,False
87,155,42,32,26806,0.0,1228,False
88,155,56,39,30654,0.0,939,True
89,155,57,45,130343,0.0,4819,False
90,155,45,35,32059,0.0,1089,True
91,155,70,60,149594,0.0,4194,False
92,155,75,54,58458,0.0,1731,True
93,155,68,56,98690,0.0,2476,False
94,155,38,25,21929,0.0,1118,False
95,155,67,55,103768,0.0,3219,False
96,155,61,47,65993,0.0,1832,True
97,155,68,55,79531,0.0,2443,False
